annee,mois,regroupement2,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,name,value
2012,11,TOTAL FRUITS (HORS VANILLE),62864728,260.6263499477095,98.7450169215633,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-11-01,410,NA,NA,NA,"Volume écoulé par
le marché de gros",241206.3400827
2012,11,TOTAL FRUITS (HORS VANILLE),62864728,260.6263499477095,98.7450169215633,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-11-01,410,NA,NA,NA,"Besoin estimé
du marché",410000
2012,10,TOTAL FRUITS (HORS VANILLE),52714511,229.2651457673125,94.04430815141868,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-10-01,340,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",514584.5
2012,10,TOTAL FRUITS (HORS VANILLE),52714511,229.2651457673125,94.04430815141868,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-10-01,340,NA,NA,NA,"Volume écoulé par
le marché de gros",229928.15076
2012,10,TOTAL FRUITS (HORS VANILLE),52714511,229.2651457673125,94.04430815141868,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-10-01,340,NA,NA,NA,"Besoin estimé
du marché",340000
2012,6,TOTAL FRUITS (HORS VANILLE),54702593.5,225.92841339829775,88.45468329974032,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-06-01,350,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",431650
2012,6,TOTAL FRUITS (HORS VANILLE),54702593.5,225.92841339829775,88.45468329974032,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-06-01,350,NA,NA,NA,"Volume écoulé par
le marché de gros",242123.56771418
2012,6,TOTAL FRUITS (HORS VANILLE),54702593.5,225.92841339829775,88.45468329974032,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-06-01,350,NA,NA,NA,"Besoin estimé
du marché",350000
2013,9,TOTAL FRUITS (HORS VANILLE),32414261.87498,248.97181856551833,100.22905478649676,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-09-01,350,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",347726
2013,9,TOTAL FRUITS (HORS VANILLE),32414261.87498,248.97181856551833,100.22905478649676,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-09-01,350,NA,NA,NA,"Volume écoulé par
le marché de gros",130192.49351890002
2013,9,TOTAL FRUITS (HORS VANILLE),32414261.87498,248.97181856551833,100.22905478649676,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-09-01,350,NA,NA,NA,"Besoin estimé
du marché",350000
2013,12,TOTAL FRUITS (HORS VANILLE),66090210,251.27255514747816,102.707473352807,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-12-01,460,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",531070
