geo_pict,time_period,imports_t,type,obs_value,Name,import_hab_kg
AS,2000,185,Légumes et tubercules,57520,Samoa Américaines,3.2162726008344924
AS,2001,299,Légumes et tubercules,57840,Samoa Américaines,5.169432918395574
AS,2002,344,Légumes et tubercules,58160,Samoa Américaines,5.914718019257221
AS,2003,480,Légumes et tubercules,58480,Samoa Américaines,8.207934336525307
AS,2004,351,Légumes et tubercules,58800,Samoa Américaines,5.969387755102041
AS,2005,313,Légumes et tubercules,59120,Samoa Américaines,5.2943166441136675
AS,2006,134,Légumes et tubercules,58400,Samoa Américaines,2.2945205479452055
AS,2007,341,Légumes et tubercules,57670,Samoa Américaines,5.912953008496618
AS,2008,279,Légumes et tubercules,56950,Samoa Américaines,4.899034240561897
AS,2009,164,Légumes et tubercules,56220,Samoa Américaines,2.917111348274635
AS,2010,79,Légumes et tubercules,55502,Samoa Américaines,1.4233721307340275
AS,2011,90,Légumes et tubercules,55660,Samoa Américaines,1.6169601149838304
AS,2012,157,Légumes et tubercules,55799,Samoa Américaines,2.813670495887023
AS,2013,503,Légumes et tubercules,55930,Samoa Américaines,8.993384587877705
AS,2014,306,Légumes et tubercules,56050,Samoa Américaines,5.459411239964317
AS,2015,201,Légumes et tubercules,56181,Samoa Américaines,3.5777220056602768
AS,2016,189,Légumes et tubercules,56303,Samoa Américaines,3.3568371134753034
AS,2017,98,Légumes et tubercules,56427,Samoa Américaines,1.7367572261506017
AS,2018,297,Légumes et tubercules,56556,Samoa Américaines,5.251432208784214
MH,1995,193,Légumes et tubercules,51000,Îles Marshall,3.7843137254901964
MH,1996,158,Légumes et tubercules,51240,Îles Marshall,3.0835284933645593
MH,1997,151,Légumes et tubercules,51480,Îles Marshall,2.9331779331779333
MH,1998,8,Légumes et tubercules,51720,Îles Marshall,0.15467904098994587
MH,1999,136,Légumes et tubercules,51960,Îles Marshall,2.617397998460354
MH,2000,308,Légumes et tubercules,52200,Îles Marshall,5.900383141762452
MH,2001,161,Légumes et tubercules,52180,Îles Marshall,3.0854733614411654
MH,2002,203,Légumes et tubercules,52160,Îles Marshall,3.891871165644172
MH,2003,105,Légumes et tubercules,52140,Îles Marshall,2.0138089758342925
MH,2004,12,Légumes et tubercules,52120,Îles Marshall,0.23023791250959325
MH,2005,43,Légumes et tubercules,52100,Îles Marshall,0.8253358925143953
MH,2006,40,Légumes et tubercules,52160,Îles Marshall,0.7668711656441718
MH,2007,4,Légumes et tubercules,52220,Îles Marshall,0.07659900421294523
MH,2008,21,Légumes et tubercules,52280,Îles Marshall,0.4016832440703902
MH,2009,8,Légumes et tubercules,52340,Îles Marshall,0.15284677111196024
MH,2011,10,Légumes et tubercules,53729,Îles Marshall,0.18611922797744235
MH,2012,50,Légumes et tubercules,53989,Îles Marshall,0.9261145788957009
MH,2013,17,Légumes et tubercules,54202,Îles Marshall,0.3136415630419542
MH,2014,35,Légumes et tubercules,54375,Îles Marshall,0.6436781609195402
MH,2015,48,Légumes et tubercules,54499,Îles Marshall,0.880750105506523
MH,2016,59,Légumes et tubercules,54584,Îles Marshall,1.0809028286677416
MH,2017,70,Légumes et tubercules,54630,Îles Marshall,1.281347245103423
MH,2018,192,Légumes et tubercules,54645,Îles Marshall,3.5135877024430417
AS,2002,132,Fruits,58160,Samoa Américaines,2.269601100412655
AS,2003,43,Fruits,58480,Samoa Américaines,0.7352941176470588
AS,2004,15,Fruits,58800,Samoa Américaines,0.25510204081632654
